प्रदेश,जिल्ला,प्रतिनिधि सभा निर्वाचन क्षेत्र,उम्मेदवारको नाम,राजनीतिक दल / स्वतन्त्र,चुनाव चिन्ह,जम्मा प्राप्त मत
कोशी प्रदेश,मोरङ्ग,6,डा शेखर कोइराला,नेपाली काँग्रेस,रुख,35224
कोशी प्रदेश,मोरङ्ग,6,लाल बाबु पंण्डित,नेपाल कम्युनिष्ट पार्टी (एमाले),सूर्य,22946
कोशी प्रदेश,मोरङ्ग,6,यादव कुमार प्रधान,राष्ट्रिय स्वतन्त्र पार्टी,गोलाकार भित्र घण्टी,9140
कोशी प्रदेश,मोरङ्ग,6,गोपाल क्षेत्री,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,8925
कोशी प्रदेश,मोरङ्ग,6,बुद्धि राम माझि,जनमत पार्टी,लाउड स्पिकर,1844
कोशी प्रदेश,मोरङ्ग,6,सरोज नेपाल,स्वतन्त्र,डोजर,900
कोशी प्रदेश,मोरङ्ग,6,बलराम खवास,नागरिक उन्मुक्ति पार्टी,पिधँ भएको सादा ढकिया,508
कोशी प्रदेश,मोरङ्ग,6,टेक वहादुर अधिकारी श्रेत्री,हाम्रो नेपाली पार्टी,लौरो,434
कोशी प्रदेश,मोरङ्ग,6,लक्ष्मी थेवे,स्वतन्त्र,क्रस खुकुरी,192
कोशी प्रदेश,मोरङ्ग,6,दुखाराम माझी,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,109
कोशी प्रदेश,मोरङ्ग,6,प्रशान्त ठाकुर,"जनता प्रगतिशिल पार्टी, नेपाल",कोदालो बोकेको किसान,59
कोशी प्रदेश,मोरङ्ग,6,मोहन बहादुर राई,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,42
कोशी प्रदेश,मोरङ्ग,6,चिरञ्जिवि खतिवडा,नेपाल मजदुर किसान पार्टी,मादल,39
कोशी प्रदेश,मोरङ्ग,6,शुशिल खड्का,स्वतन्त्र,खरायो,36
कोशी प्रदेश,मोरङ्ग,6,नारायण पासवान,बहुजन शक्ति पार्टी,जग,28
