category,series-0
Wholesale and retail trade; repair of vehicles & motorcycles,25.1
Agriculture,14.2
Manufacturing,12.4
Construction,10.8
Other service activities,6.4
Education,5.2
Transportation and storage,4.7
Human health,4.6
Accommodation and food service activities,3.1
Financial and insurance activities,3
Public admin. and defense; compulsory social security,2.9
Activities of households as employers,1.8
Professionals,1.1
Information and communication,1.03
Arts entertainment and recreation,0.9
Water supply; sewerage waste mgmt. & remediation activities,0.8
Administrative and support service activities,0.6
Electricity,0.5
Real estate activities,0.4
Mining and quarrying,0.2
Activities of extraterritorial organization and bodies,0.2
Not stated,0.1
