category,series-0
Agriculture,31.5
Manufacturing,23.3
Wholesale and retail trade; repair of vehicles & motorcycles,13.5
Construction,12.2
Other service activities,4.1
Transportation and storage,3.9
Education,2.4
Human health,1.7
Public admin. and defense; compulsory social security,1.4
Financial and insurance activities,1.3
Accommodation and food service activities,1.2
Activities of households as employers,0.9
Professionals,0.4
Information and communication,0.4
Electricity,0.3
Water supply; sewerage waste mgmt. & remediation activities,0.3
Arts entertainment and recreation,0.3
Real estate activities,0.3
Mining and quarrying,0.2
Administrative and support service activities,0.2
Activities of extraterritorial organization and bodies,0.04
Not stated,0.03
