category,series-0
Agriculture,43.9
Wholesale and retail trade; repair of vehicles & motorcycles,16.9
Construction,11.8
Transportation and storage,5.2
Manufacturing,4.7
Other service activities,4.2
Education,3.6
Accommodation and food service activities,1.8
Mining and quarrying,1.8
Financial and insurance activities,1.4
Public admin. and defense; compulsory social security,1.2
Human health,0.8
Professionals,0.5
Arts entertainment and recreation,0.4
Real estate activities,0.4
Electricity,0.4
Activities of households as employers,0.3
Information and communication,0.3
Administrative and support service activities,0.2
Water supply; sewerage waste mgmt. & remediation activities,0.2
Not stated,0.03
Activities of extraterritorial organization and bodies,0.02
